runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
11600000,c_69253_b_80213_d_31,1105,116,1,t_5566489_b_80213_tn_0,2562322,t_5566497_b_80213_tn_0,2562322
11700000,c_69253_b_80213_d_31,111,117,1,t_5566315_b_80213_tn_0,2562331,t_5567267_b_80213_tn_0,2562331
11800000,c_69253_b_80213_d_31,112,118,1,t_5567134_b_80213_tn_0,2562322,t_5567148_b_80213_tn_0,2562322
11900000,c_69253_b_80213_d_31,113,119,1,t_5566455_b_80213_tn_0,2562322,t_5567149_b_80213_tn_0,2562322
1200000,c_18146_b_78479_d_31,602,12,1,t_898187_b_78479_tn_0,2562331,t_898187_b_78479_tn_0,2562331
12000000,c_69253_b_80213_d_31,114,120,1,t_5566456_b_80213_tn_0,2562331,t_5566460_b_80213_tn_0,2562322
12100000,c_69253_b_80213_d_31,115,121,1,t_5567135_b_80213_tn_0,2562322,t_5567292_b_80213_tn_0,2562322
12200000,c_69253_b_80213_d_31,116,122,1,t_5567314_b_80213_tn_0,2562322,t_5567158_b_80213_tn_0,2562331
12300000,c_69253_b_80213_d_31,117,123,1,t_5566692_b_80213_tn_0,805745,t_5566694_b_80213_tn_0,2562331
12400000,c_69253_b_80213_d_31,118,124,1,t_5567136_b_80213_tn_0,2562322,t_5566698_b_80213_tn_0,2562322
12500000,c_69253_b_80213_d_31,201,125,1,t_5567225_b_80213_tn_0,805792,t_5567271_b_80213_tn_0,2562322
12600000,c_69253_b_80213_d_31,202,126,1,t_5567246_b_80213_tn_0,805595,t_5566713_b_80213_tn_0,2562322
12700000,c_69253_b_80213_d_31,203,127,1,t_5566311_b_80213_tn_0,2562322,t_5566312_b_80213_tn_0,2562322
12800000,c_69253_b_80213_d_31,204,128,1,t_5567192_b_80213_tn_0,805792,t_5566302_b_80213_tn_0,2562331
12900000,c_69253_b_80213_d_31,205,129,1,t_5566544_b_80213_tn_0,2562322,t_5566543_b_80213_tn_0,2562322
1300000,c_18146_b_78479_d_31,703,13,1,t_5369313_b_78479_tn_0,2562331,t_2082238_b_78479_tn_0,2562322
13000000,c_69253_b_80213_d_31,206,130,1,t_5567253_b_80213_tn_0,805595,t_5566549_b_80213_tn_0,2562331
13100000,c_69253_b_80213_d_31,207,131,1,t_5566487_b_80213_tn_0,805745,t_5567164_b_80213_tn_0,2562331
13200000,c_69253_b_80213_d_31,208,132,1,t_5566478_b_80213_tn_0,2562331,t_5567294_b_80213_tn_0,805734
13300000,c_69253_b_80213_d_31,209,133,1,t_5566472_b_80213_tn_0,2562331,t_5566474_b_80213_tn_0,2562331
13400000,c_69253_b_80213_d_31,210,134,1,t_5567266_b_80213_tn_0,2562331,t_5566439_b_80213_tn_0,2562331
13500000,c_69253_b_80213_d_31,211,135,1,t_5567308_b_80213_tn_0,2562322,t_5567288_b_80213_tn_0,2562322
13600000,c_69253_b_80213_d_31,212,136,1,t_5567311_b_80213_tn_0,2562322,t_5567295_b_80213_tn_0,805734
13700000,c_69253_b_80213_d_31,213,137,1,t_5566446_b_80213_tn_0,2562331,t_5566449_b_80213_tn_0,2562331
13800000,c_69253_b_80213_d_31,214,138,1,t_5566463_b_80213_tn_0,2562331,t_5566471_b_80213_tn_0,2562331
13900000,c_69253_b_80213_d_31,3601,139,1,t_5566729_b_80213_tn_0,806010,t_5566728_b_80213_tn_0,805918
1400000,c_18146_b_78479_d_31,704,14,1,t_2082236_b_78479_tn_0,2562331,t_2082239_b_78479_tn_0,2562322
14000000,c_69253_b_80213_d_31,4601,140,1,t_5566386_b_80213_tn_0,2562322,t_5566387_b_80213_tn_0,2562322
14100000,c_69253_b_80213_d_31,501,141,1,t_5566260_b_80213_tn_0,2562338,t_5566714_b_80213_tn_0,2562331
14200000,c_69253_b_80213_d_31,502,142,1,t_5566334_b_80213_tn_0,2562338,t_5566332_b_80213_tn_0,2562331
14300000,c_69253_b_80213_d_31,503,143,1,t_5566734_b_80213_tn_0,805974,t_5566336_b_80213_tn_0,2562331
14400000,c_69253_b_80213_d_31,504,144,1,t_5566344_b_80213_tn_0,805734,t_5566355_b_80213_tn_0,2562322
14500000,c_69253_b_80213_d_31,505,145,1,t_5567204_b_80213_tn_0,2562322,t_5566374_b_80213_tn_0,2562331
14600000,c_69253_b_80213_d_31,506,146,1,t_5567208_b_80213_tn_0,2562322,t_5566531_b_80213_tn_0,2562322
14700000,c_69253_b_80213_d_31,5601,147,1,t_5566263_b_80213_tn_0,805745,t_5566262_b_80213_tn_0,2562336
14800000,c_69253_b_80213_d_31,601,148,1,t_5566249_b_80213_tn_0,805745,t_5567250_b_80213_tn_0,2562322
14900000,c_69253_b_80213_d_31,602,149,1,t_5566294_b_80213_tn_0,2562322,t_5567173_b_80213_tn_0,2562331
1500000,c_18146_b_78479_d_31,705,15,1,t_2082237_b_78479_tn_0,2562331,t_2082240_b_78479_tn_0,2562322
15000000,c_69253_b_80213_d_31,603,150,1,t_5566744_b_80213_tn_0,2562322,t_5566371_b_80213_tn_0,2562351
15100000,c_69253_b_80213_d_31,701,151,1,t_5566720_b_80213_tn_0,805974,t_5566291_b_80213_tn_0,2562336
15200000,c_69253_b_80213_d_31,702,152,1,t_5566397_b_80213_tn_0,2562331,t_5566394_b_80213_tn_0,2562331
15300000,c_69253_b_80213_d_31,801,153,1,t_5566420_b_80213_tn_0,2562331,t_5567147_b_80213_tn_0,2562322
15400000,c_69253_b_80213_d_31,8601,154,1,t_5566730_b_80213_tn_0,2562336,t_5566707_b_80213_tn_0,805918
15500000,c_69253_b_80213_d_31,8602,155,1,t_5566700_b_80213_tn_0,2562336,t_5566701_b_80213_tn_0,805918
15600000,c_69253_b_80213_d_31,8603,156,1,t_5566702_b_80213_tn_0,2562336,t_5566703_b_80213_tn_0,2562336
15700000,c_69253_b_80213_d_31,8604,157,1,t_5567128_b_80213_tn_0,805745,t_5566704_b_80213_tn_0,811180
15800000,c_69253_b_80213_d_31,8605,158,1,t_5567129_b_80213_tn_0,805745,t_5566705_b_80213_tn_0,2562338
15900000,c_69253_b_80213_d_31,8606,159,1,t_5567130_b_80213_tn_0,805745,t_5566706_b_80213_tn_0,2562338
1600000,c_18146_b_78479_d_31,706,16,1,t_2063806_b_78479_tn_0,2734696,t_2063805_b_78479_tn_0,2562322
16000000,c_69253_b_80213_d_31,901,160,1,t_5566322_b_80213_tn_0,2562331,t_5567275_b_80213_tn_0,2562322
16100000,c_69253_b_80213_d_31,902,161,1,t_5567207_b_80213_tn_0,2562322,t_5566413_b_80213_tn_0,2562322
16200000,c_69253_b_80213_d_31,9601,162,1,t_5566388_b_80213_tn_0,805745,t_5566389_b_80213_tn_0,805918
